year,sid,state,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,unemployrt,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,poverty,r20001,r20002,r20003,r20004,r20011,r20012,r20013,r20014,r20021,r20022,r20023,r20024,r20031,r20032,r20033,r20034,r20041,r20042,r20043,r20044,r20051,r20052,r20053,r20054,r20061,r20062,r20063,r20064,r20071,r20072,r20073,r20074,r20081,r20082,r20083,r20084,r20091,r20092,r20093,r20094,r20101,r20102,r20103,r20104,trend_1,trend_2,trend_3,trend_4,trend_5,trend_6,trend_7,trend_8,trend_9,trend_10,trend_11,trend_12,trend_13,trend_14,trend_15,trend_16,trend_17,trend_18,trend_19,trend_20,trend_21,trend_22,trend_23,trend_24,trend_25,trend_26,trend_27,trend_28,trend_29,trend_30,trend_31,trend_32,trend_33,trend_34,trend_35,trend_36,trend_37,trend_38,trend_39,trend_40,trend_41,trend_42,trend_43,trend_44,trend_45,trend_46,trend_47,trend_48,trend_49,trend_50,trend_51,l_homicide,l_larceny,l_motor,l_police,l_income,l_prisoner,l_lagprisoner,l_exp_subsidy,l_exp_pubwelfare,post,lead1,lead2,lead3,lead4,lead5,lead6,lead7,lead8,lead9,lag0,lag1,lag2,lag3,lag4,lag5,popwt
2007,12,Hawaii,0.09536542,1,0,1.880091,87.89425,158.31932,712.0061,2937.172,492.19214,1.880091,2.7,0.081705615,7.5991707,0.12635778,12.961817,8.32190917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6313202,7.9852023,6.198869,5.6633906,11.117257,6.1491075,6.1402683,4.401136,7.115412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248183.9
2008,12,Hawaii,0.104147464,0,1,2.0308168,84.74755,159.02858,734.5308,2454.4766,399.60226,2.0308168,4,0.08513809,7.5759625,0.1301285,13.056512,9.108838506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7084381,7.805669,5.99047,5.691781,11.0397005,6.1423283,6.1491075,4.5795455,7.1205835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248183.9
2009,12,Hawaii,0.11553398,1,0,1.7965368,80.453606,164.96893,722.0516,2610.0554,379.38168,1.7965368,6.9,0.09092038,7.4754677,0.13138151,13.110109,10.30243524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5858608,7.867127,5.938543,5.6936493,10.943199,6.1315475,6.1423283,4.597832,7.200581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248183.9
2010,12,Hawaii,0.09677419,1,1,1.7810522,78.21788,158.1426,642.8857,2324.2732,378.4736,1.8552628,6.5,0.09254051,7.172149,0.13276261,13.225278,9.782726465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57720435,7.7511625,5.9361463,5.6219726,10.976902,6.08389,6.1315475,4.505494,7.282712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248183.9
2000,13,Idaho,0.2825112,0,1,1.2673699,17.663967,209.43288,580.61383,2261.0671,165.23335,1.2673699,4.6,11.550888,42.896828,20.203936,100.016556,11.48894576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23694378,7.7235923,5.107359,5.5651236,10.7710085,6.083202,5.9579954,4.352778,6.6383734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2001,13,Idaho,0.28163266,1,2,2.3264976,18.999731,194.72784,582.16724,2193.4995,185.26675,2.3264976,4.9,11.430858,42.488827,19.627342,96.16888,11.7576534,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8443639,7.6932535,5.2217965,5.5979543,10.759922,6.1436806,6.083202,4.5059094,6.781303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2002,13,Idaho,0.3375,0,0,2.7516203,18.344135,202.2441,568.7446,2221.1692,200.79185,2.7516203,5.4,11.358078,42.048275,19.103737,92.93445,11.96335759,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01219,7.705789,5.302269,5.589761,10.73005,6.1614594,6.1436806,4.6078033,6.8344965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2003,13,Idaho,0.31428573,1,0,1.9502462,18.37732,191.72421,587.84924,2217.2048,198.47505,1.9502462,5.3,11.274749,41.586224,18.49636,89.197815,12.00294037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66795564,7.7040024,5.2906632,5.581176,10.824388,6.064551,6.1614594,4.661004,6.878614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2004,13,Idaho,0.2987552,0,1,2.279157,17.718609,190.12581,563.9811,2087.193,201.37456,2.279157,4.7,11.309104,41.607628,18.002031,85.636826,11.82132585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82380563,7.6435757,5.3051667,5.584048,10.8435335,6.1499577,6.064551,4.720334,6.9362245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2005,13,Idaho,0.32706767,1,0,2.5078208,19.059439,200.05244,577.9452,1978.0258,206.64444,2.937733,4,11.12806,40.70315,17.471485,81.77065,13.35980637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91941416,7.5898547,5.331,5.5744624,10.80645,6.1913877,6.1499577,4.445949,7.0002785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2006,13,Idaho,0.3537415,0,1,2.1821182,20.048212,183.5707,510.2065,1712.4172,164.27258,2.1821182,3.4,10.679627,38.749237,16.591805,76.57864,12.47441978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.780296,7.445661,5.101527,5.582266,10.819258,6.185785,6.1913877,4.520419,6.9670615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2007,13,Idaho,0.40677965,1,1,3.3491473,16.130587,198.76164,480.6368,1686.3982,153.44562,3.3491473,2.7,10.803665,38.923447,16.55675,75.68909,12.15467045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2087058,7.4303503,5.033346,5.6277924,10.8536,6.2151146,6.185785,4.423959,6.9730887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2008,13,Idaho,0.28630707,0,0,1.539787,16.13429,189.9294,455.57614,1591.4703,112.136665,1.539787,4.2,10.713303,37.854996,16.197489,73.40292,12.45319549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43164414,7.3724136,4.7197185,5.6992784,10.779373,6.1904087,6.2151146,4.424404,6.9983215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2009,13,Idaho,0.40944883,0,0,1.6079615,17.017593,197.77927,447.6833,1545.385,98.62164,1.6079615,8,10.837192,37.586906,16.191235,72.666794,14.57402754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47496724,7.3430285,4.591291,5.643318,10.769537,6.2061486,6.1904087,4.7046766,7.0889716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2010,13,Idaho,0.28037384,0,0,1.3518698,13.776197,174.13371,418.56464,1510.3605,85.103424,1.4162446,9.2,10.176039,39.220448,14.671972,78.5954,14.04863126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3014887,7.3201036,4.443867,5.6328263,10.758201,6.170382,6.2061486,4.5070267,7.0466056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401675.9
2000,14,Illinois,,3,10,7.4230137,211.95267,419.35068,676.5854,2588.6396,415.5152,5.554861,4.5,0.34592238,3.0660355,0.5963706,6.3135214,10.1499052,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.004585,7.8588877,6.029519,6.0239134,10.973735,5.925058,5.908701,4.8848524,6.930705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2001,14,Illinois,,6,9,8.075343,205.01668,405.79834,650.945,2522.5745,400.74918,5.904375,5.4,0.35108006,3.0727913,0.5951988,6.1828594,10.26140922,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0888155,7.8330355,5.9933357,6.026395,10.948365,5.899047,5.925058,4.897143,6.981245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2002,14,Illinois,,5,4,7.826353,206.1564,367.40695,663.24475,2477.615,364.94748,5.822937,6.6,0.3517787,3.0538006,0.5896884,6.024142,11.49821562,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0574965,7.8150516,5.8997536,6.0180817,10.854431,5.8513126,5.899047,4.8639474,6.984662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2003,14,Illinois,,13,15,7.2594714,192.93161,336.66104,635.4674,2400.1436,337.69116,5.2560196,6.7,0.3576121,3.0554993,0.59109944,5.9109783,11.57442041,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9823071,7.7832837,5.8221316,6.0113034,10.88796,5.864113,5.8513126,4.787599,7.006147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2004,14,Illinois,,6,9,6.295135,182.25223,337.21747,614.08234,2316.4885,325.8378,4.083767,6.2,0.36233345,3.0437784,0.5922915,5.8084884,11.993967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8397771,7.747808,5.7864,6.0037355,10.881551,5.873655,5.864113,4.7816167,7.075484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2005,14,Illinois,,3,11,6.189536,186.93202,338.8811,624.058,2231.9468,316.4943,4.1317163,5.7,0.36791566,3.0372615,0.59679186,5.716527,11.93689792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8228601,7.7106295,5.757305,6.0236683,10.89772,5.889086,5.873655,4.620293,7.173257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2006,14,Illinois,0.008788159,2,11,6.078568,185.33397,318.40784,602.08215,2124.21,293.33765,4.855061,4.5,0.36409843,2.9407487,0.58609086,5.4842787,11.97113927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8047692,7.661155,5.6813245,6.0055313,10.871079,5.8622456,5.889086,4.497274,7.125266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2007,14,Illinois,0.010779221,2,16,5.8827906,180.70805,317.39688,590.81366,2095.83,265.09326,5.210025,5,0.37277493,2.9366155,0.5973692,5.46699,11.70418732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7720312,7.647705,5.5800815,6.037423,10.918954,5.8684793,5.8622456,4.5216346,7.155058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2008,14,Illinois,0.010803174,0,20,6.1579165,187.5982,303.05524,615.54224,2101.12,255.09364,5.128999,6.6,0.37636563,2.9173794,0.60137904,5.4021688,11.92012886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8177385,7.6502256,5.5416307,6.015435,10.895405,5.8706017,5.8684793,4.4552093,7.211719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2009,14,Illinois,0.011473193,2,15,6.0461273,179.29544,286.17816,608.9147,1946.1882,208.65005,5.396931,10,0.38329944,2.9194896,0.6070453,5.3562274,13.07264277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.799418,7.573628,5.3406587,5.98544,10.891969,5.867128,5.8706017,4.4954495,7.3008323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2010,14,Illinois,0.012017553,0,14,5.5174966,156.72504,250.41307,589.2546,1874.0264,225.04509,5.470606,10.5,0.38519317,2.982504,0.6056039,5.414727,12.787283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7079242,7.5358443,5.416301,5.9650626,10.834884,5.935936,5.867128,4.5098147,7.295567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12520122
2000,15,,0.39223176,2,2,5.9637456,106.432526,217.49034,696.4706,2451.6924,357.31647,5.2521625,2.9,0.10809289,3.349863,0.1670357,6.277706,8.968033138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7856988,7.804534,5.878622,5.57626,10.853987,5.836248,5.783544,4.1065726,6.7663407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6158275.5
2001,15,,0.4589318,1,6,6.9569025,120.79407,226.29305,720.25,2481.0874,362.14636,6.4010243,4.2,0.111394666,3.353008,0.16512957,6.1078067,9.159225476,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9397343,7.816452,5.8920484,5.6390915,10.814323,5.8669443,5.836248,4.0652566,6.8040886,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6158275.5
2002,15,,0.49561402,5,6,6.05262,110.55228,220.43575,712.3533,2442.3325,339.1975,5.517582,5.2,0.113628745,3.3478513,0.1651429,5.930815,9.785297517,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8004912,7.800709,5.8265824,5.6668463,10.814706,5.889805,5.8669443,4.257689,6.9455967,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6158275.5
2003,15,,0.4585221,2,7,5.617002,106.374054,222.40337,691.0242,2421.0608,345.17972,5.3178716,5.3,0.11617888,3.3568566,0.16412282,5.769808,10.13129326,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7257981,7.791961,5.844065,5.6629467,10.825641,5.948997,5.889805,4.3832726,6.9652123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6158275.5
2004,15,,0.45394632,3,2,5.215442,105.183586,194.78687,695.9645,2453.7336,348.09778,4.9513693,5.3,0.119096935,3.3512354,0.16511166,5.6311593,11.27874064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6516238,7.805366,5.8524833,5.6432414,10.796715,5.982024,5.948997,4.464229,6.985952,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6158275.5
2005,15,,0.49581435,3,8,5.842414,111.74437,185.13559,718.09174,2482.6648,356.84674,5.4649544,5.3,0.12090186,3.3406134,0.16813351,5.513302,12.08906989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7651441,7.8170877,5.8773065,5.613437,10.766294,5.9948034,5.982024,4.6818986,6.9816647,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6158275.5
2006,15,,0.22989145,7,3,5.733727,113.81923,174.94203,723.98596,2397.2522,343.10495,5.4011073,5,0.12362359,3.226156,0.16382304,5.253456,12.17453972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7463658,7.7820783,5.8380365,5.530932,10.801676,6.0240674,5.9948034,4.6807427,6.9699297,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6158275.5
2007,15,,0.4683206,5,4,5.617543,124.72851,180.9674,738.40546,2362.177,309.37747,5.3160367,4.6,0.12847354,3.1930022,0.16952604,5.2431355,11.98480661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7258945,7.7673388,5.734562,5.5470777,10.817777,6.065067,6.0240674,4.7527947,7.0451117,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6158275.5
2008,15,,0.51047295,4,4,5.0823956,119.81511,187.81187,771.90857,2313.0425,276.3592,4.8929896,5.9,0.13289991,3.1515589,0.17319605,5.189536,12.62023535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6257827,7.746319,5.6217012,5.523858,10.760199,6.1026254,6.065067,4.773526,7.1579437,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6158275.5
2009,15,,0.4664489,3,7,4.91922,115.83817,191.95995,770.6778,2163.0378,218.16425,4.6511855,10,0.1404185,3.1149225,0.17717075,5.1497297,14.12098348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59315,7.679269,5.385248,5.5826087,10.715218,6.118555,6.1026254,4.859153,7.0929413,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6158275.5
